Published Date,Project Type,Project Type Name,Budget Line,Budget Line Title,Funding Type,First Fiscal Year,Fiscal Year 1 Amount,Fiscal Year 2 Amount,Fiscal Year 3 Amount,Fiscal Year 4 Amount
20180201,AG,DEPARTMENT FOR THE AGING,AG 0001,"IMPROVEMENTS TO PROPERTY USED BY DEPARTMENT FOR THE AGING, CITYWIDE",C,2019,"3,306,783","3,479,000","2,178,000","1,253,000"
20180201,AG,DEPARTMENT FOR THE AGING,AG 0002,"PURCHASE OF AUTOS, COMPUTERS, OTHER EQUIP FOR THE AGING, CITYWIDE",C,2019,0,"2,342,111","1,403,000",0
20180201,AG,DEPARTMENT FOR THE AGING,AG MN235,"LENOX HILL NEIGHBORHOOD HOUSE, INC.",C,2019,"50,000",0,0,0
20180201,BR,WATERWAY BRIDGES,BR 0231,"QUEENSBORO BRIDGE, REHABILITATION",C,2019,"141,151,222",0,0,0
20180201,BR,WATERWAY BRIDGES,BR 0253,RECONSTRUCTION OF WILLIAMSBURG BRIDGE,C,2019,0,0,"273,760,919",0
20180201,BR,WATERWAY BRIDGES,BR 0270,REHABILITATION OF BROOKLYN BRIDGE,C,2019,"289,984,124",0,0,"15,000,000"
20180201,BR,WATERWAY BRIDGES,BR 0287,RECONSTRUCTION: MACOMBS DAM BRIDGE OVER HARLEM RIVER,C,2019,0,"93,499",0,0
20180201,C,CORRECTION,C  0075,"CORRECTION FACILITIES, CONSTRUCTION, RECONS & IMPROVEMENTS, CITYWIDE",C,2019,"134,751,470","23,330,000","41,300,000","49,384,000"
20180201,C,CORRECTION,C  0101,"SECURITY SYSTEMS, VARIOUS FACILITIES",C,2019,0,0,"1,649,995",0
20180201,C,CORRECTION,C  0112,PURCHASE OF EQUIPMENT FOR USE BY THE DEPT. OF CORRECTION,C,2019,"4,160,367","4,277,000","3,761,000","3,599,000"
20180201,C,CORRECTION,C  0114,"ACQUISITION, CONSTR., ETC. SUPPLEMENTARY HOUS. PROG. AND SUPPORT FACIL",C,2019,"82,877,375",0,0,0
20180201,C,CORRECTION,C  0117,"PURCHASE OF COMPUTER EQUIPMENT, ALL FACILITIES",C,2019,"343,871",0,"4,000,000","3,300,000"
